kathbean_,1230275835908804615,2020-02-19 23:39:51,b'RT @local__celeb: i understand that \xe2\x80\x9cdrinking to get drunk\xe2\x80\x9d is not what you\xe2\x80\x99re supposed to do but can we also acknowledge that drinking for\xe2\x80\xa6'
kathbean_,1229187445029253120,2020-02-16 23:34:58,b'RT @laurieslaurence: snl making a wes anderson horror movie parody is probably the best and funniest thing i\xe2\x80\x99ve seen https://t.co/idiVeuzCH2'
kathbean_,1229082657255981056,2020-02-16 16:38:35,b'Maybe I will have pasta for breakfast .... my diet is yelling at me but maybe I will have pasta and tomato sauce wi\xe2\x80\xa6 https://t.co/G3bWCG0aEC'
kathbean_,1228895853462638592,2020-02-16 04:16:17,b'Just watched Jojo Rabbit and Parasite in the same evening no one talk to me I\xe2\x80\x99m still processing'
kathbean_,1228527865865609222,2020-02-15 03:54:02,b'Look I know it\xe2\x80\x99s Valentine\xe2\x80\x99s Day and I love my girlfriend so much I could die like I could fucking die she\xe2\x80\x99s so god\xe2\x80\xa6 https://t.co/u9JCgiARtb'
kathbean_,1228523197785616389,2020-02-15 03:35:29,b'Happy love day https://t.co/UhKvtZBXHr'
kathbean_,1228433476866760705,2020-02-14 21:38:58,b'@maya_persram This is exactly the kind of medical advice I was looking for thank you'
kathbean_,1228421428590104580,2020-02-14 20:51:06,b'Can someone tell me if the pain I m experiencing in my left arm is bc I have bad joints and slept funny or is a hea\xe2\x80\xa6 https://t.co/e292TJYGfQ'
kathbean_,1227272731399507971,2020-02-11 16:46:35,b'@Gerudhoh \xf0\x9f\xa4\x96\xf0\x9f\xa4\x96\xf0\x9f\xa4\x96\xf0\x9f\xa4\x96\xf0\x9f\xa4\x96\xf0\x9f\xa4\x96\xf0\x9f\xa4\x96'
kathbean_,1226711199477313536,2020-02-10 03:35:15,b'Y\xe2\x80\x99all r getting scammed by skincare companies tht sell u stuff to dry your skin out and then offer you moisturizer\xe2\x80\xa6 https://t.co/qqRRbOGt2W'
